Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,4,279,259,183,13,20,0,0,0,0,0
D:\LAB.PBO\SOAL\MODUL 1,4,279,259,183,13,20,0,0,0,0,0
